"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"102188","Rougnon","Programmation VC C344","32902","Rougnon - Programmation VC C344"
"102189","Rougnon","Equipements GTB","32903","Rougnon - Equipements GTB"
"102190","RCE","Collège Maryse Bastié Vélizy","32955A","RCE - Collège Maryse Bastié Vélizy"
"102191","Wideber","9 Lincoln - Etudes","32969","Wideber - 9 Lincoln - Etudes"
"102192","Jvelec","Chantier Printemps","32925","Jvelec - Chantier Printemps"
"102193","Eiffage Energie","RATP Le Blanc Mesnil - OA 0201P, ….","32943","Eiffage Energie - RATP Le Blanc Mesnil - OA 0201P, …."
"102194","Intuitech","JLL Rebais - TS passerelle MBUS et Vues sup","32868","Intuitech - JLL Rebais - TS passerelle MBUS et Vues sup"
"102195","Cap Horn Santé","Dépannage bus Modbus + ajout compteurs","32962","Cap Horn Santé - Dépannage bus Modbus + ajout compteurs"
"102196","Equans","OPV - Fourniture","32946","Equans - OPV - Fourniture"
"102197","UTB","Caisse de Prévoyance et retraite des notaires","32638A","UTB - Caisse de Prévoyance et retraite des notaires"
"102198","Covea","Fourniture","32981","Covea - Fourniture"
"102199","Brunier","GTB : Elsa Triolet Maternelle","32975","Brunier - GTB : Elsa Triolet Maternelle"
"102200","Snef","Médiathèque Bagnolet","32822C","Snef - Médiathèque Bagnolet"
"102201","Fern Energies","Fourniture","32987","Fern Energies - Fourniture"
"102202","CBRE","Lys2","32361H","CBRE - Lys2"
"102203","Rougnon","Le Retiro/Cartier - Eclairage Hall et Rubis","32401A","Rougnon - Le Retiro/Cartier - Eclairage Hall et Rubis"
"102204","Carrier","Carat chatillon","32927A","Carrier - Carat chatillon"
"102205","Rougnon","Champs Elysées","32991","Rougnon - Champs Elysées"
"102206","Idfc","Hôtel Tribe - Thermostats sans fils","32940","Idfc - Hôtel Tribe - Thermostats sans fils"
"102207","Xns","MAAF Montparnasse - R+3 GTB","32995A","Xns - MAAF Montparnasse - R+3 GTB"
"102208","IDFC","Sous-Station Choisy le Roi","33011A","IDFC - Sous-Station Choisy le Roi"
"102209","ICE","Les Groues - Intervention corrective","32966","ICE - Les Groues - Intervention corrective"
"102210","IDFC","Construction d'un groupement ERP","32941B","IDFC - Construction d'un groupement ERP"
"102211","Cogeclim","RATP Bagneux - FTM","30766A","Cogeclim - RATP Bagneux - FTM"
"102212","Dp Bat","Stains","32910","Dp Bat - Stains"
"102213","Agec","Carrefour Mondeville - R+5 Phase 2","32914A","Agec - Carrefour Mondeville - R+5 Phase 2"
"102214","Techni +","Thales - Fourniture Automate VC RDC","33031A","Techni + - Thales - Fourniture Automate VC RDC"
"102215","Vinci Facilities","19 Opéra Paris - Maintenance 2025","32815","Vinci Facilities - 19 Opéra Paris - Maintenance 2025"
"102216","Clim5S","Finlay","32996","Clim5S - Finlay"
"102217","Michon","Servomoteur ","33039","Michon - Servomoteur "
"102218","Axima Concept Equans","Maintenance 2025/2026 - AGIRC ARRCO","33046","Axima Concept Equans - Maintenance 2025/2026 - AGIRC ARRCO"
"102219","Cegelec Missenard","Rue de Provence CPCU","32821","Cegelec Missenard - Rue de Provence CPCU"
"102220","Covea","Tivoli travaux","33050","Covea - Tivoli travaux"
"102221","Eagc","Locaux canaux Pantin","33024","Eagc - Locaux canaux Pantin"
"102222","Ambiance Climatisation","Albingia - TD Eclairage","33047","Ambiance Climatisation - Albingia - TD Eclairage"
"102223","P.C.V.E","Hôtel Mercure Sacré Cœur","33036","P.C.V.E - Hôtel Mercure Sacré Cœur"
"102224","MF Immocom","Treed-It 6ème Modi alimentation Zone Vc","33051","MF Immocom - Treed-It 6ème Modi alimentation Zone Vc"
"102225","Cap Horn Santé","Treed-It Raccordement du  bus","33048","Cap Horn Santé - Treed-It Raccordement du  bus"
"102226","IDFC","SST Maison Alfort","33055A","IDFC - SST Maison Alfort"
